	id	title	total.gross	distributer	genre	release.date	runtime	budget	MPAA.rating
608	escapist.htm	The Escapist 	13439	IFC	Thriller	3/4/09	1 hrs. 42 min.	N/A	Unrated
609	evanalmighty.htm	Evan Almighty 	100462298	Universal	Fantasy Comedy	22/6/07	1 hrs. 30 min.	$175 million	PG
610	evangelion1.htm	Evangelion 1.0 You Are 	107797	Eleven Arts	Animation	3/7/09	1 hrs. 38 min.	N/A	PG-13
611	evangelion2.htm	Evangelion 2.0: You Can 	133640	Eleven Arts	Foreign	21/1/11	1 hrs. 49 min.	N/A	Unrated
612	evening.htm	Evening 	12492481	Focus Features	Drama	29/6/07	1 hrs. 57 min.	N/A	PG-13
613	evenmoney.htm	Even Money 	64458	Yari Film Group	Drama	18/5/07	1 hrs. 48 min.	N/A	R
614	everlastingmoments.htm	Everlasting Moments 	610825	IFC	Foreign	6/3/09	2 hrs. 11 min.	N/A	Unrated
615	everybodysfine09.htm	Everybody's Fine 	9208876	Miramax	Comedy	4/12/09	1 hrs. 35 min.	$21 million	PG-13
616	everybodywantstobeitalian.htm	Everybody Wants to Be Italian 	351416	Roadside Attractions	Romantic Comedy	5/9/08	1 hrs. 43 min.	$3 million	R
617	everyday.htm	Every Day 	46029	Image Entertainment	Comedy / Drama	14/1/11	1 hrs. 33 min.	$3 million	R
618	everylittlestep.htm	Every Little Step 	1725141	Sony Classics	Documentary	17/4/09	1 hrs. 36 min.	N/A	PG-13
619	everyoneshero.htm	Everyone's Hero 	14523101	Fox	Animation	15/9/06	1 hrs. 28 min.	N/A	G
620	everythingmustgo.htm	Everything Must Go 	2711643	Roadside Attractions	Comedy / Drama	13/5/11	1 hrs. 40 min.	$5 million	R
621	everythingsgonegreen.htm	Everything's Gone Green 	19373	First Independent Pictures	Comedy	13/4/07	1 hrs. 35 min.	N/A	R
622	ex.htm	The Ex 	3093394	MGM (Weinstein)	Romantic Comedy	11/5/07	1 hrs. 32 min.	N/A	PG-13
623	examinedlife.htm	Examined Life 	120712	Zeitgeist	Documentary	25/2/09	1 hrs. 27 min.	N/A	Unrated
624	exiled.htm	Exiled 	51957	Magnolia	Foreign / Action	31/8/07	1 hrs. 40 min.	N/A	R
625	exitthroughthegiftshop.htm	Exit Through the Gift Shop 	3291250	Producers Distribution Agency	Documentary	16/4/10	1 hrs. 27 min.	N/A	R
626	expelled.htm	Expelled: No Intelligence Allowed 	7720487	Rocky Mountain Pictures	Documentary	18/4/08	1 hrs. 30 min.	N/A	PG
